C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\riviortoital\input.txt
42872904|*Diospyros|C0330444|179898|MH|RtM via: Diospyros;RtM via: Diospyros lotus;RtM via: Diospyros virginiana;Forced Leaf Node Lookup:diospyros lotus;Forced Leaf Node Lookup:persimmons;checkForceMH Boosted|TI|MM;RC|99^9^0;110^15^0
42872904|*Fruit|C0016767|18955|MH|RtM via: Fruit;RtM via: Persimmon (food);Forced Leaf Node Lookup:fruits|TI|MM;RC|474^5^0;85^5^0;99^9^0
42872904|*Pollen|C0032385|40038|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|295^6^0
42872904|*Flowers|C0330090|20493|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|233^7^0
42872904|*Disorders of Sex Development|C0036875|2013|MH|RtM via: Hermaphroditism|TI|MM|219^13^0
42872904|*Sterility|C4074771|1296|ET|Entry Term Replacement for "Infertility";RtM via: Infertility;RtM via: Sterility, Reproductive;Forced Non-Leaf Node Lookup:sterility|TI|MM|278^9^0
42872021|Animals|C0003062|100113|CT|Hemiptera;CT Treecode Lookup: B01.050.500.131 (Hemiptera);Insect;CT Treecode Lookup: B01.050.500.131 (Insect)||MM;RC
42872021|*Hemiptera|C0018992|99113|MH|RtM via: Leafhoppers;RtM via: Homoptera;RtM via: Hemiptera;RtM via: Cicadella viridis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:hemipteras|TI|MM;RC|163^8^0;152^9^0;142^9^0;173^17^0
42872021|*Trees|C0040811|17101|MH|RtM via: cherry tree;Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|120^11^0;127^4^0
42872021|*Insect|C0021585|85440|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM;RC|414^6^0;232^6^0
42872021|*Health Services|C0018747|414|MH|RtM via: Test Method|TI|MM|424^6^0
42872021|*Research Design|C0035171|372|MH|RtM via: Test Method|TI|MM|424^6^0
42872021|Italy|C0022277|15|MH|RtM via: Italy|TI|MM|248^5^0;63^5^0
42872969|Male|C0086582|239641|CT|CT Text Lookup: he|TI|MM;RC|2826^2^0
42872969|Animals|C0003062|239641|CT|Mite;CT Treecode Lookup: B01.050.500.131 (Mite)||MM
42872969|*Prunus persica|C0330659|238641|MH|RtM via: Peach;RtM via: Prunus persica;Forced Leaf Node Lookup:peach tree;Forced Leaf Node Lookup:peaches;checkForceMH Boosted|TI|MM|5071^7^0;2711^10^0
42872969|*Prunus domestica|C0330660|176667|MH|RtM via: Prunus domestica;RtM via: Plum (Dietary);Forced Leaf Node Lookup:plum;checkForceMH Boosted|TI|MM|5221^4^0
42872969|*Temperature|C0039476|73041|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|3456^11^0;2564^11^0;4617^12^0;4693^12^0;2873^11^0;3501^11^0
42872969|*Trees|C0040811|46569|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|3184^4^0
42872969|*Fruit|C0016767|46209|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|5207^6^0;4852^5^0;4920^6^0;4292^5^0;3650^5^0;3157^5^0;3719^5^0;3850^5^0
42872969|*Accidental Falls|C0000921|27462|MH|RtM via: Accidental Falls;RtM via: Falls;Forced Leaf Node Lookup:falling|TI|MM|4298^7^0;4140^7^0;3937^7^0;3635^7^0;3552^7^0;3331^7^0;3019^7^0;2915^7^0
42872969|*Mite|C0026231|27369|ET|Entry Term Replacement for "Mites";RtM via: Mites;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mite|TI|MM|869^4^0
