42871469|*Adiantum|D035681|742|MH|RtM via: Adiantum;Forced Leaf Node Lookup:adiantums;checkForceMH Boosted|TI|MM|754^8^0;259^8^0
42871469|Brazil|D001938|245|MH|RtM via: Brazil;RtM via: Minas Gerais;Forced Leaf Node Lookup:brazil|TI|MM;RC|684^6^0;166^6^0;670^12^0;152^12^0
42871469|*Habitats|D017753|2322|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|981^7^0;494^8^0
42871469|*Environment|D004777|912|MH|RtM via: Para (geographic area)|TI|MM|891^4^0
42871469|*Pteridaceae|D029625|396|MH|RtM via: Eriosorus|TI|MM|816^9^0;326^9^0
42871469|pelo protein, human|C550527|352|NM|RtM via: pelota protein, human|TI|MM|743^4^0
42871469|*Endonucleases|D004720|351|HM|RtM via: pelota protein, human|TI|MM|743^4^0
42871469|*Nuclear Proteins|D009687|45|HM|RtM via: pelota protein, human|TI|MM|743^4^0
42871446|*Melastomataceae|D035322|890|MH|RtM via: Melastomataceae;Forced Leaf Node Lookup:melastomataceae;checkForceMH Boosted|TI|MM;RC|475^15^0;74^15^0
42871446|*Cell Membrane Structures|D021961|1935|MH|RtM via: Secondary foot process;RtM via: podocyte foot|TI|MM|372^8^0
42871446|*Cell Membrane|D002462|1380|MH|RtM via: cell surface furrow|TI|MM|415^7^0
42871446|*Mycobacterium avium Complex|D015269|39|MH|RtM via: Mycobacterium avium Complex|TI|MM|792^4^0
42871446|*Kidney Glomerulus|D007678|21|MH|RtM via: Secondary foot process;RtM via: podocyte foot|TI|MM|372^8^0
42871446|Brazil|D001938|12|MH|RtM via: Minas Gerais|TI|MM|599^12^0;149^12^0
42871879|*Magnoliaceae|D029562|1092|MH|RtM via: Magnoliaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:magnoliaceae|TI|MM|383^12^0;45^12^0
42871879|Brazil|D001938|120|MH|RtM via: Brazil;RtM via: Minas Gerais;Forced Leaf Node Lookup:brazil|TI|MM;RC|459^6^0;119^6^0;445^12^0;105^12^0
42871879|*Magnolia|D031566|585|MH|RtM via: Magnolia ovata|TI|MM|526^13^0
42871493|*Foraminifera|D056908|692|MH|RtM via: Foraminifera;Forced Leaf Node Lookup:forams;checkForceMH Boosted|TI|MM|551^5^0
42871493|*Environment|D004777|363|MH|RtM via: Para (geographic area)|TI|MM|582^4^0
42871493|*Survey|D011795|261|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM;RC|64^6^0
42871493|*Ecological Momentary Assessment|D000072860|240|MH|RtM via: Ecological Momentary Assessment|TI|MM|467^4^0;117^4^0
